R,S,T,I_R,I_S,I_T,Kondisi
230.92,216.22,233.14,1.32,1.35,1.05,1
222.13,221.31,221.06,1.18,1.18,1.2,0
220.4,221.12,219.74,1.21,1.21,1.21,0
226.09,231.27,214.5,1.03,1.28,1.3,1
230.52,213.47,227.64,1.37,1.35,1.23,1
223.02,222.8,222.77,1.03,1.0,1.0,1
212.29,233.1,226.33,1.36,1.29,0.96,1
222.38,221.67,222.03,1.02,1.02,1.03,0
220.9,220.27,220.32,1.07,1.07,1.09,0
212.67,234.83,228.58,1.26,1.44,1.03,1
226.36,220.36,228.52,0.86,0.9,0.96,1
231.69,221.09,233.04,1.15,1.28,0.96,1
213.5,223.28,223.81,1.3,1.0,1.28,1
234.85,213.24,223.35,1.12,1.3,1.48,1
216.18,215.84,221.01,1.22,1.2,1.14,1
225.07,224.59,224.78,1.04,1.05,1.03,0
223.76,224.25,222.89,1.13,1.14,1.13,0
231.31,222.51,211.44,1.05,1.17,1.06,1
223.0,223.49,221.68,1.2,1.19,1.2,0
220.76,221.61,222.23,1.1,1.13,1.11,0
225.07,224.01,224.69,1.04,1.05,1.04,0
230.03,212.76,234.67,0.84,1.34,1.49,1
232.19,210.58,227.21,1.48,1.39,1.13,1
217.47,213.68,223.79,0.85,1.07,1.04,1
233.97,224.01,231.99,1.36,1.09,1.3,1
224.95,224.26,224.08,1.17,1.18,1.16,0
225.38,225.14,224.03,1.1,1.13,1.13,0
216.89,222.11,224.99,1.4,1.48,0.95,1
232.1,224.37,226.35,0.93,1.26,1.24,1
221.99,223.05,221.48,1.08,1.08,1.09,0
221.89,220.91,220.5,1.1,1.08,1.1,0
218.61,223.81,230.72,0.85,1.08,1.1,1
221.75,221.66,222.23,1.03,1.02,1.04,0
212.02,225.41,216.74,0.8,0.83,1.13,1
221.02,221.51,221.38,1.09,1.09,1.08,0
220.32,221.27,220.18,1.14,1.15,1.16,0
223.38,222.39,224.21,1.07,1.06,1.05,0
234.81,214.16,223.94,1.04,1.22,1.31,1
214.03,223.65,219.5,0.92,0.9,1.08,1
212.26,225.29,231.21,1.04,1.33,0.94,1
233.32,232.41,217.82,1.27,1.35,1.1,1
211.04,228.01,221.5,1.41,1.21,1.49,1
221.77,223.1,223.02,1.1,1.13,1.12,0
220.45,221.25,220.93,1.08,1.07,1.09,0
222.02,222.8,223.25,1.05,1.03,1.06,0
224.18,224.13,223.34,1.17,1.15,1.16,0
230.0,214.39,224.2,1.16,1.29,1.03,1
220.33,220.35,220.22,1.03,1.03,1.0,1
222.11,222.55,221.44,1.05,1.03,1.05,0
220.75,220.23,220.1,1.08,1.1,1.1,0
221.67,225.37,219.03,1.13,1.36,1.29,1
221.83,220.74,221.11,1.13,1.12,1.14,0
220.47,220.34,221.55,1.09,1.11,1.09,0
212.81,232.62,225.38,1.09,0.93,1.19,1
229.08,212.84,231.4,0.98,1.01,1.25,1
212.82,216.38,220.32,0.86,1.41,1.14,1
221.56,220.9,220.69,1.08,1.07,1.07,0
223.97,212.18,233.89,1.33,1.12,0.96,1
233.19,234.8,212.96,0.84,0.85,0.95,1
225.08,223.46,223.87,1.2,1.17,1.18,0
224.25,225.16,224.32,1.16,1.17,1.16,0
230.76,226.8,210.94,1.19,1.0,0.99,1
218.55,227.79,211.5,0.84,0.96,1.45,1
223.25,223.26,224.44,1.11,1.09,1.09,0
221.13,220.65,222.55,1.01,1.0,1.01,0
221.67,222.79,221.65,1.08,1.06,1.05,0
224.58,224.31,223.22,1.14,1.16,1.17,0
210.58,228.45,219.17,0.94,1.37,1.25,1
219.32,220.68,219.71,1.14,1.15,1.14,0
220.82,222.3,221.72,1.06,1.03,1.03,0
233.42,232.25,211.72,1.46,1.2,1.35,1
225.17,225.42,224.14,1.11,1.09,1.11,0
231.93,214.3,226.54,1.02,0.86,0.89,1
222.77,221.56,222.91,1.05,1.07,1.07,0
220.76,221.02,222.4,1.0,1.0,1.0,0
220.74,221.89,221.72,1.03,1.02,1.01,0
223.03,223.28,222.58,1.02,1.02,1.02,0
230.81,215.65,220.46,1.06,1.44,1.23,1
224.36,224.46,223.19,1.12,1.11,1.12,0
218.2,231.52,217.42,1.15,0.95,0.82,1
227.14,217.91,221.15,1.31,0.92,1.39,1
230.2,234.21,220.44,1.15,0.85,0.92,1
213.22,216.77,233.45,1.0,1.02,1.32,1
223.37,223.95,224.45,1.17,1.16,1.15,0
230.24,219.26,227.69,1.01,0.84,1.38,1
221.65,221.7,222.09,1.03,1.02,1.01,0
220.67,227.36,234.65,1.16,1.48,1.04,1
213.41,219.51,218.67,0.82,0.83,0.93,1
220.58,221.92,221.97,1.1,1.09,1.1,0
214.73,233.94,224.03,1.11,1.12,0.96,1
216.49,231.78,218.24,1.4,1.24,1.16,1
224.28,224.06,224.31,1.2,1.19,1.2,0
223.89,222.84,223.3,1.11,1.12,1.13,0
221.57,221.98,220.41,1.06,1.03,1.03,0
220.24,219.66,220.09,1.08,1.06,1.07,0
228.31,210.28,212.82,1.19,1.22,0.82,1
221.23,220.88,221.53,1.08,1.1,1.09,0
220.53,219.52,219.48,1.03,1.04,1.02,0
229.18,216.06,213.72,1.12,0.97,1.3,1
216.15,214.31,220.04,1.48,1.47,1.15,1
225.96,224.19,225.47,1.08,1.07,1.08,0
220.94,221.05,220.98,1.08,1.09,1.07,0
222.47,222.56,223.85,1.08,1.07,1.07,0
224.26,223.24,223.58,1.12,1.11,1.1,0
212.96,217.83,225.29,1.48,1.25,1.36,1
219.36,220.63,219.82,1.05,1.02,1.04,0
221.23,221.25,220.98,1.03,1.02,1.03,0
212.33,231.03,225.72,1.12,1.48,0.98,1
222.72,223.81,223.24,1.03,1.01,1.0,0
219.06,222.31,214.12,1.18,1.26,1.11,1
223.03,219.36,213.02,0.92,0.93,1.26,1
226.91,232.75,231.9,1.12,1.15,1.2,1
224.83,225.34,224.02,1.15,1.15,1.18,0
223.83,223.57,224.82,1.11,1.11,1.11,0
224.75,224.09,224.03,1.13,1.11,1.13,0
223.87,222.83,222.23,1.15,1.15,1.14,0
224.27,223.91,223.24,1.05,1.07,1.05,0
219.12,210.69,216.77,1.38,1.37,1.02,1
221.24,220.97,222.45,1.15,1.15,1.13,0
223.58,222.93,222.35,1.11,1.11,1.13,0
232.27,233.02,222.78,1.07,0.81,0.95,1
224.5,224.27,225.32,1.17,1.17,1.15,0
220.24,221.57,220.33,1.08,1.07,1.07,0
218.69,211.46,213.1,1.06,0.88,1.04,1
220.12,220.1,220.16,1.04,1.04,1.03,0
227.9,229.97,221.16,1.44,1.13,1.46,1
221.7,220.4,222.05,1.13,1.14,1.14,0
226.42,224.01,220.65,1.38,0.95,0.81,1
224.99,223.51,223.6,1.21,1.18,1.22,0
224.69,225.25,224.15,1.03,1.02,1.02,0
220.19,220.43,220.52,1.1,1.09,1.1,0
211.3,210.08,211.13,0.89,0.95,1.49,1
221.52,222.36,221.24,1.1,1.12,1.09,0
214.99,230.65,231.7,1.18,1.38,1.37,1
218.49,210.22,222.01,0.85,1.05,1.48,1
224.09,230.68,225.82,1.41,0.93,1.1,1
221.23,219.98,220.19,1.19,1.19,1.17,0
230.48,218.63,228.4,1.09,0.89,0.95,1
222.02,222.23,220.89,1.18,1.19,1.2,0
225.38,227.68,226.9,1.11,0.91,1.06,1
219.85,220.22,220.1,1.21,1.2,1.19,0
231.12,224.21,218.54,1.29,0.83,1.32,1
222.19,221.63,221.49,1.17,1.2,1.17,0
222.52,223.1,223.97,1.13,1.14,1.14,0
221.46,221.48,220.58,1.01,1.04,1.04,0
234.05,218.51,231.13,1.27,1.2,1.27,1
229.89,217.37,216.96,0.9,1.35,0.99,1
219.89,219.87,221.16,1.15,1.15,1.13,0
219.97,231.83,221.44,0.89,1.17,0.92,1
223.53,223.49,223.42,1.04,1.07,1.06,0
223.07,221.6,222.38,1.15,1.15,1.14,0
224.45,224.47,223.4,1.07,1.1,1.07,0
219.47,225.42,230.91,1.03,0.92,1.32,1
222.46,222.9,223.26,1.15,1.19,1.15,0
224.17,221.14,212.51,1.17,1.47,1.06,1
213.37,220.9,213.81,0.99,1.31,1.2,1
222.07,222.36,222.84,1.18,1.17,1.18,0
231.43,232.06,225.49,1.2,1.07,1.34,1
221.45,220.66,221.01,1.07,1.08,1.05,0
224.18,222.76,224.26,1.13,1.15,1.14,0
210.62,220.97,212.82,1.39,1.43,1.18,1
215.14,216.44,210.52,1.24,1.24,1.43,1
223.95,223.8,223.45,1.02,1.03,1.02,0
234.7,215.29,213.27,1.48,1.09,0.96,1
219.46,231.06,218.23,1.46,0.96,1.07,1
213.72,212.86,233.26,1.12,1.35,1.0,1
220.67,234.59,214.12,1.0,0.94,1.21,1
223.92,224.73,224.9,1.08,1.06,1.06,0
221.46,221.04,222.45,1.08,1.06,1.07,0
221.47,221.68,222.01,1.09,1.1,1.09,0
220.5,220.8,219.62,1.07,1.07,1.09,0
221.5,221.54,220.76,1.17,1.17,1.17,0
223.75,223.17,223.34,1.07,1.11,1.08,1
222.78,224.34,223.06,1.09,1.08,1.11,0
219.77,221.48,215.95,0.84,1.07,0.91,1
221.64,220.92,221.77,0.99,1.02,1.01,1
225.27,224.47,223.71,1.04,1.03,1.04,0
210.88,223.26,213.37,0.88,1.39,1.11,1
217.69,225.16,216.72,1.13,1.42,1.12,1
223.14,225.51,210.78,0.89,1.36,0.95,1
213.53,226.58,217.5,1.5,1.04,1.42,1
222.31,214.39,219.64,1.25,1.11,1.46,1
213.37,225.04,217.19,1.16,1.31,0.98,1
215.51,223.88,225.74,1.36,1.3,1.2,1
220.1,223.95,211.59,1.46,1.12,0.89,1
221.22,220.17,221.47,1.13,1.15,1.13,0
210.31,221.74,230.72,0.85,1.27,1.0,1
221.27,220.01,221.31,1.09,1.07,1.07,0
230.42,230.24,232.51,0.82,1.38,1.33,1
225.74,214.86,226.53,0.85,1.04,1.04,1
232.77,214.36,222.44,0.9,1.0,1.32,1
213.81,233.05,217.99,1.02,0.92,1.27,1
223.39,223.65,224.71,1.1,1.1,1.09,0
222.06,222.7,222.91,1.12,1.12,1.13,0
221.45,221.84,223.09,1.03,1.03,1.0,1
222.33,222.11,220.9,1.02,1.01,1.02,0
224.57,225.78,224.15,1.01,1.0,1.03,0
211.27,211.21,210.06,1.31,1.36,1.28,1
225.54,224.28,224.8,1.16,1.2,1.19,1
216.56,213.85,230.96,0.81,1.37,1.08,1
211.44,211.52,215.4,0.81,1.37,1.2,1
230.67,234.88,224.03,1.09,1.34,1.07,1
221.41,221.62,222.22,1.12,1.13,1.11,0
223.5,223.2,224.24,1.07,1.08,1.09,0
221.47,229.31,229.44,1.0,0.92,1.06,1
230.54,233.63,232.33,1.1,1.42,1.46,1
221.37,222.35,221.76,1.13,1.12,1.11,0
225.73,228.81,222.14,0.97,1.33,1.32,1
221.35,221.96,221.98,1.05,1.05,1.03,0
220.0,215.37,214.82,1.01,1.15,0.83,1
221.32,222.09,220.69,1.21,1.21,1.18,0
213.0,223.91,215.35,0.83,0.93,1.24,1
221.46,230.74,217.41,1.34,1.44,0.87,1
224.9,224.63,224.06,1.11,1.13,1.1,0
220.55,221.63,220.81,1.19,1.18,1.21,0
214.22,230.81,214.91,1.48,1.47,0.99,1
221.44,221.74,222.38,1.05,1.05,1.06,0
223.86,232.16,232.39,0.87,1.43,1.24,1
224.74,223.54,224.6,1.13,1.14,1.15,0
219.69,221.34,221.07,1.09,1.12,1.1,0
221.99,217.12,219.93,1.39,1.16,0.96,1
224.15,223.85,223.16,1.19,1.18,1.19,0
222.45,222.68,221.84,1.04,1.06,1.04,0
222.57,231.27,211.82,0.85,1.05,1.36,1
222.69,224.04,222.55,1.05,1.08,1.07,0
225.57,225.04,224.66,1.01,1.02,1.02,0
212.4,226.99,228.96,0.83,1.07,1.13,1
228.68,212.89,230.28,1.26,0.8,1.36,1
224.08,224.27,224.04,1.14,1.11,1.11,0
220.67,219.72,220.15,1.03,1.01,1.02,0
230.25,217.33,224.48,1.28,1.34,1.24,1
220.38,234.83,233.87,0.84,1.04,1.45,1
220.54,221.22,231.25,1.49,0.94,1.11,1
215.52,215.18,217.6,1.23,1.17,0.95,1
222.1,222.79,221.77,1.12,1.09,1.1,0
214.29,225.28,228.72,1.04,1.03,1.09,1
221.49,221.38,221.65,1.12,1.1,1.14,0
217.34,225.42,212.83,1.37,1.49,1.43,1
218.59,227.86,212.38,1.46,1.31,1.13,1
234.91,216.64,225.92,1.32,0.93,1.29,1
223.81,224.3,223.9,1.09,1.08,1.08,0
211.04,222.35,212.29,0.83,1.04,1.44,1
226.23,227.7,222.86,1.12,1.2,1.14,1
221.47,221.93,222.05,1.03,1.03,1.01,0
227.07,231.08,228.61,1.21,1.1,1.35,1
211.0,230.75,215.72,0.99,1.28,0.98,1
216.82,216.14,234.15,1.28,1.31,0.84,1
224.57,224.86,225.8,1.09,1.1,1.11,0
231.54,234.32,229.24,1.05,0.92,1.4,1
227.8,215.21,225.65,1.25,1.0,0.84,1
222.88,222.48,222.53,1.13,1.12,1.15,0
221.45,220.62,221.64,1.03,1.02,1.01,0
223.52,223.11,222.46,1.11,1.12,1.12,0
233.11,210.72,230.79,0.94,0.91,0.81,1
222.23,216.31,210.83,1.13,1.26,1.41,1
213.99,226.5,222.07,1.02,0.98,1.13,1
224.25,224.29,224.15,1.1,1.09,1.09,0
224.92,231.97,222.62,1.19,1.22,1.02,1
221.66,221.64,221.53,1.04,1.05,1.03,0
219.68,220.42,221.02,1.16,1.2,1.18,0
233.51,220.57,213.88,1.47,0.92,1.47,1
223.52,221.58,229.48,1.4,0.81,1.37,1
219.4,211.4,220.18,1.31,1.05,1.31,1
223.52,223.2,224.26,1.09,1.08,1.09,0
223.84,224.03,224.43,1.04,1.04,1.06,0
230.87,211.91,227.46,0.99,1.33,1.44,1
222.16,233.72,233.39,1.46,0.97,0.84,1
223.95,224.74,224.31,1.05,1.04,1.04,0
225.65,224.79,225.64,1.11,1.12,1.11,0
224.84,224.8,224.08,1.09,1.08,1.09,0
216.37,230.58,226.97,1.17,1.4,1.09,1
222.86,212.18,217.98,0.86,1.29,0.84,1
222.3,223.9,223.98,1.08,1.19,1.29,1
233.74,216.53,230.07,1.34,1.22,0.87,1
228.15,223.47,229.97,1.04,1.11,1.11,1
225.36,214.78,233.48,0.85,1.29,1.41,1
220.86,219.75,220.05,1.06,1.09,1.09,0
211.18,222.22,234.03,1.01,1.12,1.05,1
226.71,228.81,227.66,1.36,1.23,1.39,1
223.67,223.36,224.59,1.14,1.14,1.14,0
223.35,222.52,217.3,1.43,1.44,0.95,1
233.75,231.48,218.0,1.47,1.08,1.17,1
223.49,224.21,222.33,1.14,1.11,1.13,0
225.89,213.12,220.08,0.92,1.19,0.92,1
222.21,221.56,221.47,1.03,1.02,1.02,0
218.44,210.99,233.4,1.17,1.16,0.95,1
218.86,229.83,233.25,0.96,0.98,1.05,1
220.82,219.69,220.29,1.09,1.09,1.12,0
222.18,222.31,221.07,1.15,1.16,1.14,0
220.32,221.62,220.13,1.07,1.08,1.08,0
220.52,220.45,220.1,1.18,1.15,1.14,0
223.75,224.21,223.94,1.17,1.2,1.2,0
233.9,211.39,221.2,0.88,0.85,1.03,1
228.08,221.97,229.57,1.06,1.3,1.14,1
217.21,215.59,234.95,1.49,0.86,1.23,1
232.01,211.75,220.04,1.07,1.32,1.05,1
226.2,212.01,215.75,1.19,1.06,1.13,1
211.22,223.4,227.53,1.26,1.46,0.8,1
221.95,220.42,221.86,1.08,1.08,1.09,0
223.08,224.21,223.87,1.11,1.08,1.1,0
218.36,219.29,233.49,0.91,0.89,1.19,1
222.76,224.35,224.28,1.02,1.05,1.02,0
223.96,224.59,224.08,1.12,1.14,1.13,0
225.64,224.71,223.95,1.15,1.13,1.16,0
233.87,223.92,212.93,0.91,1.29,0.91,1
233.38,218.39,223.01,1.29,1.44,1.25,1
230.63,214.01,217.35,1.4,1.2,0.9,1
231.27,216.28,213.32,1.27,1.01,1.26,1
223.11,221.84,222.33,1.17,1.15,1.15,0
220.46,228.86,211.24,1.11,1.45,1.23,1
229.08,232.09,234.74,1.43,0.94,1.03,1
223.98,225.18,224.38,1.05,1.03,1.03,0
212.08,215.54,230.9,1.08,1.36,1.43,1
222.56,225.02,234.22,1.3,0.87,1.27,1
217.18,216.05,224.7,1.32,1.14,1.02,1
225.3,224.49,225.21,1.14,1.15,1.15,0
212.18,219.54,215.96,0.86,1.13,1.47,1
233.77,210.31,212.27,1.36,0.93,1.14,1
220.53,219.83,220.74,1.0,0.99,0.99,0
220.58,221.77,220.38,1.07,1.05,1.06,0
223.27,222.7,222.52,1.11,1.12,1.13,0
230.38,226.1,223.93,0.92,1.37,1.3,1
221.47,215.37,232.86,0.86,1.17,1.16,1
214.73,230.98,230.29,1.05,1.33,0.99,1
222.64,222.49,223.71,1.15,1.16,1.16,0
223.46,223.41,222.8,1.03,1.03,1.06,0
225.02,214.25,212.67,1.05,0.97,1.31,1
220.84,220.95,220.92,1.01,1.01,1.02,0
221.27,222.1,221.52,1.12,1.13,1.1,0
217.92,228.96,221.43,0.91,1.2,1.34,1
229.03,210.05,216.92,0.84,0.87,0.86,0
222.54,222.28,222.34,1.0,1.02,1.02,0
224.54,212.65,218.89,1.48,1.33,0.88,1
222.7,230.53,215.85,0.89,0.82,0.83,1
222.06,223.13,221.45,1.18,1.17,1.15,0
221.23,221.08,221.99,1.02,1.02,0.99,0
226.58,227.01,234.89,0.97,1.48,1.05,1
217.4,234.05,230.99,1.04,0.99,1.0,1
221.01,218.18,232.38,1.11,1.14,0.83,1
210.54,213.24,221.59,1.48,0.99,0.85,1
234.03,222.12,222.56,1.1,0.9,1.18,1
222.61,223.75,222.6,1.16,1.19,1.17,0
220.06,227.26,223.81,0.96,0.95,0.92,1
222.84,212.2,216.16,0.81,0.93,1.05,1
219.51,219.87,220.46,1.02,1.05,1.03,0
221.53,222.15,222.43,1.09,1.07,1.07,0
225.15,224.76,225.12,1.08,1.07,1.09,0
224.79,223.07,223.06,1.16,1.13,1.13,0
228.92,220.17,230.49,1.03,1.44,0.94,1
220.85,219.4,219.38,1.13,1.16,1.12,0
221.04,221.09,220.62,1.21,1.21,1.2,0
220.68,226.36,226.1,0.88,1.36,1.33,1
230.38,228.09,231.88,1.0,1.15,1.01,1
215.58,215.14,211.01,1.42,1.02,1.14,1
220.77,220.3,219.95,1.05,1.04,1.05,0
222.38,222.4,220.96,1.01,1.02,1.02,0
224.78,215.86,221.75,1.19,1.17,1.11,1
217.2,229.03,218.69,1.1,1.09,0.93,1
232.9,220.02,224.72,1.45,1.07,0.97,1
211.61,212.16,217.63,1.32,1.37,1.07,1
220.35,219.71,221.26,1.02,1.01,1.02,0
224.26,222.65,222.6,1.18,1.18,1.18,0
224.25,224.65,224.27,1.04,1.06,1.04,0
224.06,233.65,233.49,1.05,1.42,1.47,1
213.16,217.7,211.53,1.27,1.4,0.91,1
225.66,223.77,225.67,1.05,1.07,1.07,0
221.28,219.64,220.51,1.17,1.19,1.18,0
225.06,225.31,224.05,1.07,1.07,1.07,0
224.3,229.33,230.23,0.96,0.89,0.94,1
225.7,217.04,212.67,0.86,1.3,0.86,1
222.07,221.78,221.62,1.12,1.1,1.09,0
225.7,220.34,215.64,1.29,0.96,1.33,1
232.04,215.53,210.68,1.49,0.95,1.12,1
223.41,222.62,221.63,1.15,1.13,1.14,0
223.27,223.85,224.84,1.03,1.04,1.01,0
219.76,233.06,214.38,1.02,1.07,0.84,1
210.69,215.33,215.07,0.82,1.27,0.83,1
223.35,222.84,222.9,1.13,1.1,1.1,0
224.61,224.81,225.39,1.04,1.05,1.03,0
223.33,225.11,224.66,1.18,1.17,1.18,0
224.15,222.72,223.06,1.13,1.12,1.12,0
220.74,222.02,220.85,1.0,1.0,1.02,0
223.1,222.91,222.75,1.16,1.18,1.18,0
226.07,225.15,219.83,1.2,1.36,1.23,1
221.92,221.92,222.19,1.07,1.09,1.06,0
212.08,221.21,234.42,1.0,0.9,1.44,1
220.3,222.25,220.88,0.99,0.99,1.01,0
227.95,220.14,220.48,1.43,1.02,1.31,1
220.73,221.13,221.03,1.0,1.01,1.03,0
222.74,223.35,221.69,1.09,1.09,1.06,1
230.58,219.19,210.13,1.04,0.84,1.16,1
221.76,221.95,221.66,1.05,1.04,1.02,0
231.38,224.24,215.45,1.22,1.21,1.5,1
212.46,212.85,231.56,1.31,1.24,1.33,1
225.37,223.56,225.24,1.1,1.1,1.09,0
221.63,221.31,220.77,0.99,0.99,1.01,0
221.39,221.76,222.67,1.05,1.06,1.05,0
221.28,220.16,220.66,1.06,1.03,1.03,1
222.15,234.54,219.13,0.85,1.2,1.22,1
222.26,221.96,221.82,1.04,1.08,1.06,0
215.24,227.99,233.8,1.04,1.47,1.01,1
223.8,225.47,224.1,1.09,1.07,1.1,0
218.46,211.18,221.44,1.14,0.85,1.31,1
222.13,221.37,226.59,1.24,1.0,0.81,1
215.58,221.94,231.02,1.39,1.32,0.88,1
222.7,222.52,222.08,1.03,1.04,1.02,0
225.0,224.22,223.39,1.01,1.0,0.99,0
222.27,222.54,222.95,1.1,1.08,1.08,0
212.15,217.44,217.97,1.11,1.2,1.1,1
223.1,223.7,222.4,1.1,1.09,1.1,0
218.19,230.2,232.48,1.4,1.32,1.34,1
224.53,225.13,224.75,1.07,1.06,1.07,0
231.12,220.92,211.97,0.93,1.23,1.15,1
224.95,224.43,225.08,1.09,1.09,1.1,0
221.29,221.74,221.91,1.06,1.08,1.06,0
220.59,224.58,215.9,1.03,1.01,0.83,1
233.06,225.8,213.87,0.92,1.35,1.25,1
224.68,224.28,224.18,1.14,1.16,1.14,0
224.07,224.58,225.19,1.01,0.99,1.01,0
232.55,213.24,230.17,1.07,1.4,1.42,1
220.28,215.16,233.79,0.89,1.02,1.31,1
223.19,223.89,223.25,1.19,1.19,1.19,0
221.99,221.05,221.47,1.03,1.04,1.04,0
220.61,221.49,221.52,1.15,1.12,1.11,0
220.85,221.92,222.54,1.15,1.16,1.17,0
222.64,224.31,224.27,1.11,1.1,1.12,0
210.05,216.12,230.72,1.44,1.45,1.46,1
216.66,211.47,226.92,0.9,1.32,1.03,1
222.56,224.14,223.29,1.17,1.2,1.18,0
225.29,210.36,210.47,0.87,1.43,1.21,1
215.79,214.15,215.45,1.4,1.35,1.35,1
213.41,219.36,224.37,1.26,1.21,1.18,1
221.45,220.89,221.54,1.09,1.11,1.09,0
223.23,222.06,222.22,1.03,1.03,1.02,0
222.05,229.56,226.01,0.95,0.97,1.44,1
225.37,225.5,224.67,1.08,1.09,1.09,0
231.76,220.51,223.18,0.82,1.19,1.37,1
223.36,222.24,222.78,1.06,1.09,1.09,0
225.04,224.69,225.25,1.09,1.07,1.07,0
222.33,221.85,220.58,1.03,1.03,1.03,0
223.78,223.11,223.17,1.08,1.08,1.06,0
222.41,233.47,211.81,1.23,1.22,1.45,1
219.85,222.29,228.5,1.4,1.44,0.87,1
226.29,224.35,219.14,1.45,1.06,1.16,1
222.4,221.13,221.23,1.17,1.18,1.16,0
222.28,222.75,223.56,1.11,1.11,1.1,0
224.14,224.03,223.31,1.14,1.15,1.16,0
222.11,215.25,216.63,1.18,0.91,0.91,1
234.27,232.55,230.5,1.37,1.45,1.35,1
218.25,221.06,212.9,1.14,0.92,1.05,1
223.45,222.56,223.13,1.14,1.15,1.14,0
225.36,221.56,211.14,0.9,1.37,1.33,1
224.71,224.07,223.63,1.09,1.07,1.09,0
219.21,220.38,220.41,1.17,1.17,1.19,0
215.76,211.81,217.12,0.86,1.19,0.8,1
228.12,218.62,228.2,1.2,1.13,0.87,1
221.8,221.75,222.13,1.07,1.1,1.07,0
233.67,223.6,226.68,1.29,1.13,1.06,1
223.62,222.82,222.66,1.18,1.17,1.16,0
220.24,213.09,224.41,1.06,1.09,1.38,1
222.42,221.27,222.88,1.21,1.21,1.18,0
220.76,221.86,220.77,1.11,1.08,1.1,0
222.64,221.96,222.1,1.18,1.21,1.21,0
220.66,220.46,220.83,1.09,1.08,1.08,0
219.12,218.84,224.89,1.04,1.28,0.95,1
224.39,222.98,223.41,1.11,1.13,1.11,0
220.09,221.39,220.4,1.11,1.13,1.11,0
222.89,225.11,211.54,0.98,1.0,1.32,1
222.11,223.35,223.29,1.07,1.05,1.07,0
223.32,234.25,229.76,0.89,1.34,1.0,1
224.28,226.05,210.67,0.99,1.0,0.99,0
221.37,220.88,220.61,1.03,1.04,1.04,0
216.04,210.69,227.98,1.0,0.88,0.85,1
232.24,219.43,213.37,1.07,1.08,1.28,1
229.57,232.43,214.01,1.09,1.03,0.97,1
210.18,215.5,213.83,1.17,1.29,1.39,1
224.49,222.62,224.51,1.11,1.13,1.12,0
225.09,225.1,224.54,1.17,1.14,1.16,0
222.15,220.9,221.42,1.03,1.03,1.03,0
220.49,220.59,220.02,1.14,1.15,1.13,0
215.98,215.01,213.42,0.88,0.92,1.18,1
219.15,222.86,222.57,0.97,1.11,1.02,1
220.65,219.14,225.12,1.46,0.91,0.81,1
220.13,220.04,221.24,1.12,1.11,1.1,0
222.73,223.79,211.17,1.04,0.96,0.94,1
231.59,230.11,215.38,1.4,1.41,1.01,1
222.8,223.07,223.29,1.02,1.02,1.03,0
226.18,228.16,221.5,1.31,1.31,0.84,1
224.87,225.71,216.03,0.89,1.15,1.2,1
222.44,222.91,222.77,1.13,1.1,1.13,0
222.35,227.52,229.58,1.38,1.11,1.07,1
210.33,215.25,221.97,1.25,1.32,0.81,1
222.24,222.12,222.97,1.12,1.12,1.15,0
