V_R,V_S,V_T,Kondisi
217.53,217.11,222.11,0
226.71,229.32,227.23,0
214.0,213.46,224.85,0
222.76,212.77,223.81,0
216.93,213.04,225.97,0
210.17,258.7,230.77,1
27.22,212.82,214.64,1
265.6,209.36,218.63,1
215.15,227.74,216.94,0
213.8,223.47,227.7,0
212.03,224.33,228.62,0
209.95,221.8,213.57,0
216.12,225.66,64.13,1
213.12,218.02,223.22,0
129.96,216.76,213.38,1
219.93,209.44,214.57,0
211.93,226.03,217.35,0
211.13,216.53,183.68,1
223.12,225.24,223.01,0
229.63,228.6,247.35,1
227.75,213.74,12.66,1
219.47,227.55,217.54,0
226.05,226.77,269.35,1
219.54,215.31,294.98,1
210.93,196.31,212.13,1
219.21,222.94,216.65,0
239.58,219.98,222.37,1
214.65,214.85,218.77,0
209.68,210.16,216.91,0
219.09,209.71,220.57,0
217.49,230.41,216.37,0
230.31,281.79,213.23,1
218.42,107.29,228.99,1
211.21,228.6,230.28,0
220.37,221.16,223.03,0
215.2,213.02,76.85,1
218.21,266.58,228.95,1
228.19,210.38,109.22,1
212.56,220.51,209.83,0
286.29,230.32,228.71,1
209.06,211.78,192.28,1
218.21,213.19,210.92,0
218.04,224.45,220.95,0
217.02,53.93,215.05,1
211.6,216.12,227.64,0
217.81,221.01,23.78,1
223.38,210.52,220.75,0
215.51,221.56,194.04,1
216.33,219.11,209.88,0
226.85,281.88,228.83,1
224.6,210.59,220.16,0
217.32,217.92,226.02,0
223.62,228.88,227.0,0
220.17,220.69,215.41,0
214.69,227.74,226.63,0
229.13,230.12,214.44,0
235.93,218.76,224.72,1
212.71,224.12,215.38,0
112.9,230.18,222.88,1
221.83,228.0,215.11,0
210.82,216.87,229.94,0
226.02,217.44,226.66,0
212.63,233.73,212.13,1
0.89,226.49,227.74,1
229.03,213.57,209.64,0
215.94,211.9,219.48,0
215.22,222.55,213.94,0
48.65,211.61,210.42,1
224.39,217.99,299.87,1
217.82,225.25,227.84,0
220.33,223.37,225.71,0
217.46,222.91,230.14,0
213.18,74.17,225.45,1
223.62,281.46,210.41,1
215.32,119.3,209.88,1
283.6,211.87,215.09,1
188.49,216.74,229.6,1
226.41,276.98,214.31,1
82.71,215.57,220.2,1
283.76,228.81,219.33,1
215.47,53.07,210.64,1
164.81,214.98,227.19,1
211.15,229.52,213.96,0
219.0,242.94,218.44,1
223.91,211.33,222.44,0
221.64,219.3,211.05,0
221.51,224.5,118.15,1
213.06,230.22,129.02,1
291.57,226.9,226.91,1
227.17,226.84,87.84,1
168.94,222.41,210.47,1
228.19,223.63,220.14,0
214.5,284.5,224.69,1
211.7,224.12,13.21,1
214.07,260.89,228.7,1
214.84,217.72,215.71,0
223.2,229.24,229.44,0
220.39,219.27,225.59,0
229.39,218.06,226.64,0
230.03,211.59,216.84,0
242.57,209.53,226.46,1
222.31,217.86,221.89,0
230.11,29.22,226.72,1
223.3,217.14,210.26,0
230.99,220.14,221.38,0
287.85,209.24,213.73,1
211.54,230.4,235.23,1
211.38,90.51,212.96,1
209.56,229.26,220.99,0
227.04,210.57,211.04,0
228.36,220.69,284.48,1
212.27,209.25,213.0,0
219.73,60.37,217.58,1
5.78,213.07,217.9,1
221.58,218.19,212.76,0
212.6,56.84,215.95,1
211.93,211.44,210.39,0
227.51,216.96,245.75,1
229.24,220.84,216.47,0
186.12,216.82,224.07,1
224.94,227.57,113.47,1
212.42,226.59,216.93,0
210.4,229.09,224.57,0
229.24,217.45,287.49,1
218.01,210.15,225.54,0
215.0,219.44,1.06,1
209.03,215.24,211.15,0
226.51,140.21,223.81,1
213.2,225.42,211.88,0
224.0,260.89,215.89,1
146.08,218.48,212.49,1
212.95,214.39,17.21,1
217.69,209.06,284.44,1
226.88,226.73,242.36,1
241.33,211.85,222.08,1
227.07,219.67,211.99,0
228.78,181.1,223.23,1
223.63,211.24,154.44,1
214.41,216.27,123.1,1
225.82,210.49,223.75,0
219.74,44.47,219.92,1
220.89,213.85,166.47,1
72.27,217.33,226.14,1
251.4,223.37,220.9,1
215.57,192.15,230.42,1
109.73,209.56,215.57,1
214.81,14.09,227.85,1
221.91,224.07,220.15,0
218.72,219.86,216.27,0
210.58,227.99,222.97,0
212.75,257.25,220.71,1
227.26,218.28,225.27,0
229.13,223.67,209.56,0
286.44,227.56,223.36,1
159.45,217.28,213.79,1
214.04,235.06,215.77,1
222.6,214.92,209.61,0
189.85,209.88,217.3,1
218.04,224.33,223.03,0
210.63,227.37,221.33,0
221.74,216.79,277.67,1
212.81,224.29,214.11,0
268.87,211.71,217.64,1
217.17,219.61,210.81,0
227.56,219.95,110.54,1
221.17,223.24,247.16,1
216.3,221.46,218.94,0
115.13,209.05,214.87,1
214.23,220.85,214.61,0
215.55,223.21,222.16,0
227.88,226.54,209.52,0
222.52,213.77,210.87,0
214.51,95.7,210.7,1
217.14,214.78,223.33,0
229.7,228.44,213.59,0
213.48,225.3,218.75,0
217.68,218.57,228.25,0
220.19,218.92,96.56,1
216.12,220.38,217.48,0
222.41,219.02,229.39,0
267.68,226.3,224.39,1
216.65,210.29,218.42,0
224.45,214.0,221.29,0
235.79,216.36,222.72,1
209.64,214.57,213.39,0
219.57,262.86,212.06,1
271.18,227.6,223.68,1
224.99,214.05,281.25,1
258.49,210.02,216.41,1
221.94,225.58,235.73,1
222.29,210.95,224.33,0
299.14,215.24,211.0,1
228.71,253.32,225.52,1
229.66,291.95,227.79,1
225.9,219.17,227.88,0
15.23,227.61,221.18,1
249.92,221.78,221.9,1
222.78,33.4,209.35,1
211.33,252.05,218.29,1
225.49,227.69,224.03,0
219.49,230.1,215.17,0
218.63,43.16,230.58,1
5.75,214.52,226.62,1
238.76,229.16,223.67,1
223.29,247.37,210.36,1
260.8,212.94,214.51,1
221.32,259.59,217.62,1
228.27,218.46,214.39,0
209.24,227.7,224.31,0
212.96,212.84,209.04,0
229.63,224.94,216.97,0
229.75,210.44,216.88,0
255.21,209.02,214.07,1
155.84,222.76,218.82,1
219.91,215.13,219.06,0
212.59,222.92,219.41,0
218.37,216.11,214.0,0
19.99,212.63,216.39,1
226.56,216.02,149.33,1
289.76,212.7,212.17,1
211.63,209.27,216.78,0
177.18,213.27,220.98,1
230.48,210.6,148.0,1
226.36,215.55,216.53,0
221.44,212.83,216.22,0
221.49,215.93,227.14,0
215.16,221.73,166.52,1
188.99,226.35,228.51,1
221.28,56.25,217.04,1
224.51,218.87,213.92,0
212.78,211.18,224.94,0
213.12,214.65,227.82,0
226.0,212.15,221.61,0
161.67,218.42,216.57,1
229.04,213.27,217.34,0
267.05,210.54,221.49,1
228.81,13.78,216.39,1
224.15,21.16,230.71,1
209.24,298.05,217.98,1
216.53,226.39,216.28,0
219.79,225.71,219.5,0
224.34,211.02,217.14,0
210.65,265.4,215.37,1
217.18,219.47,209.2,0
243.76,220.49,224.4,1
228.58,209.56,209.12,0
133.75,230.75,211.71,1
215.77,216.76,219.49,0
230.6,123.11,223.46,1
218.36,215.63,223.5,0
230.24,249.43,223.11,1
223.17,209.56,228.67,0
210.72,219.33,229.58,0
100.12,219.47,211.47,1
216.63,215.36,86.6,1
217.78,229.28,282.15,1
230.27,212.29,214.93,0
221.15,215.87,229.9,0
215.18,220.85,216.57,0
218.42,217.68,211.72,0
108.74,219.52,209.72,1
219.6,110.36,214.01,1
214.79,218.38,228.7,0
247.96,211.16,222.16,1
209.75,228.88,222.37,0
230.04,230.92,211.02,0
237.11,212.34,212.01,1
9.74,224.37,210.18,1
230.34,219.63,213.89,0
225.25,221.43,173.87,1
88.52,218.81,216.38,1
238.28,225.63,213.86,1
216.03,226.65,218.67,0
212.03,225.43,214.63,0
230.67,225.85,226.43,0
219.61,222.22,224.22,0
210.43,227.86,226.94,0
223.96,221.01,225.14,0
213.68,228.47,86.97,1
218.13,214.16,228.46,0
218.73,226.72,283.06,1
298.01,212.33,229.95,1
219.46,215.66,225.63,0
241.04,210.35,215.64,1
210.58,227.22,295.9,1
211.42,223.32,206.31,1
212.09,218.31,212.96,0
226.73,210.44,229.8,0
212.63,41.15,210.93,1
218.33,260.96,217.53,1
225.01,84.31,211.15,1
223.91,223.88,246.51,1
219.16,221.84,29.2,1
226.09,221.55,230.2,0
287.94,211.16,218.53,1
228.89,220.37,213.28,0
230.7,217.04,218.83,0
230.97,224.23,220.28,0
223.61,225.59,217.8,0
290.6,211.27,211.38,1
230.64,230.63,217.53,0
224.43,224.1,214.0,0
217.44,209.26,222.63,0
108.18,229.03,227.97,1
227.33,217.9,220.77,0
221.46,227.3,226.15,0
222.44,47.94,215.38,1
216.87,215.46,228.37,0
216.28,209.56,225.47,0
229.29,214.12,212.66,0
223.64,219.19,213.36,0
229.64,215.47,227.49,0
278.97,221.6,229.26,1
246.44,226.59,229.09,1
213.78,292.16,219.03,1
212.13,228.42,217.56,0
223.12,138.3,230.18,1
222.59,229.87,211.96,0
297.11,225.66,219.1,1
220.04,228.39,163.61,1
209.08,215.18,246.66,1
215.0,211.19,227.31,0
229.51,222.78,227.41,0
225.75,218.43,78.07,1
280.79,228.66,223.08,1
225.54,95.62,214.16,1
209.2,223.86,224.64,0
213.4,213.36,223.93,0
221.51,209.4,209.46,0
225.44,242.9,221.41,1
230.59,230.51,246.75,1
230.91,217.79,227.32,0
227.79,1.92,209.68,1
264.39,228.29,218.22,1
220.61,113.39,225.14,1
222.12,230.25,128.23,1
228.84,229.35,217.64,0
209.48,230.21,222.53,0
211.1,227.32,209.35,0
226.67,225.37,214.59,0
227.61,250.69,224.98,1
209.04,72.34,226.96,1
227.63,130.51,212.38,1
217.71,198.42,213.6,1
216.45,225.9,220.83,0
210.51,220.37,264.07,1
213.72,227.51,268.76,1
222.34,212.63,257.74,1
213.61,225.01,229.72,0
230.0,210.34,221.59,0
212.89,16.55,227.92,1
213.78,218.14,253.37,1
230.92,210.41,221.57,0
106.3,215.69,213.48,1
81.64,226.74,215.66,1
266.76,226.65,221.32,1
219.04,209.7,127.84,1
216.81,219.38,220.04,0
223.82,210.4,5.26,1
225.22,229.86,210.6,0
209.89,219.46,246.3,1
209.41,216.62,298.14,1
219.93,215.89,229.13,0
226.45,65.75,224.58,1
214.14,213.03,212.84,0
213.11,223.62,211.68,0
209.46,214.11,217.12,0
215.65,278.25,217.94,1
214.79,229.7,220.64,0
216.87,119.31,216.71,1
229.41,209.85,286.36,1
216.99,230.81,213.17,0
251.24,219.56,225.79,1
227.83,223.24,276.57,1
219.08,221.94,228.59,0
221.19,209.1,198.48,1
227.43,236.86,229.49,1
224.23,28.87,209.5,1
230.32,216.04,226.71,0
225.46,241.75,225.03,1
225.62,1.64,218.85,1
229.47,85.19,215.84,1
229.44,227.91,229.24,0
216.01,209.49,224.23,0
209.04,226.58,297.35,1
210.84,216.48,221.48,0
219.86,217.07,212.77,0
214.14,214.35,230.19,0
225.64,218.8,211.97,0
268.28,215.76,210.41,1
214.21,229.17,217.01,0
226.84,215.83,151.35,1
221.57,214.87,222.15,0
220.7,223.38,151.18,1
223.43,226.77,212.01,0
220.24,220.96,225.13,0
225.08,214.49,229.27,0
228.85,230.98,227.08,0
221.47,211.41,209.59,0
223.47,219.74,229.91,0
211.93,298.13,221.65,1
225.58,209.17,248.47,1
217.49,127.72,223.55,1
222.94,222.35,211.94,0
212.28,226.16,225.04,0
213.54,225.79,215.15,0
211.58,212.21,264.15,1
222.98,212.68,219.4,0
81.98,222.55,230.62,1
203.0,227.75,230.93,1
225.1,215.75,129.7,1
29.66,213.29,227.8,1
218.62,226.34,243.0,1
222.09,253.33,214.36,1
211.89,230.66,252.42,1
220.59,230.35,228.08,0
216.72,229.0,229.88,0
59.09,228.74,222.61,1
211.34,210.98,199.89,1
222.21,223.15,213.58,0
210.21,230.47,261.42,1
222.65,211.28,235.98,1
260.64,222.82,218.13,1
161.88,216.52,229.88,1
224.05,226.51,296.62,1
220.74,211.09,209.56,0
228.59,79.72,211.96,1
230.14,213.37,228.97,0
220.95,226.65,213.73,0
215.27,273.85,214.41,1
220.66,216.26,13.8,1
214.75,215.03,284.04,1
222.0,230.39,230.91,0
228.18,230.58,209.57,0
216.19,226.34,216.86,0
236.1,230.96,217.53,1
223.7,219.28,230.61,0
214.35,212.91,213.93,0
218.92,209.92,229.12,0
209.44,91.87,212.15,1
213.03,219.12,228.17,0
211.4,227.4,221.3,0
213.73,166.78,213.88,1
212.61,229.79,226.78,0
222.66,212.63,228.99,0
29.02,210.07,229.2,1
220.43,298.15,230.83,1
229.62,218.32,230.17,0
212.74,292.28,218.08,1
228.16,210.55,61.11,1
227.96,48.48,215.2,1
228.65,195.65,220.45,1
218.9,236.33,215.28,1
205.65,230.01,224.8,1
44.63,228.3,218.98,1
219.21,212.04,213.63,0
47.68,222.42,230.37,1
213.92,222.9,224.14,0
141.71,211.25,230.05,1
223.3,209.46,256.88,1
215.84,201.18,222.4,1
225.86,227.61,221.76,0
212.09,216.7,109.8,1
214.14,227.24,213.15,0
40.46,225.18,210.76,1
229.59,223.37,230.7,0
223.43,223.55,210.58,0
282.88,219.14,215.19,1
215.26,209.8,214.51,0
227.63,102.79,210.3,1
215.51,226.58,170.92,1
210.82,223.67,214.1,0
216.86,229.31,210.8,0
222.13,224.48,219.13,0
229.63,216.65,212.08,0
223.43,237.48,219.19,1
228.18,212.0,280.1,1
214.45,230.83,218.69,0
53.33,221.97,227.41,1
227.1,101.95,229.13,1
261.15,215.1,224.29,1
226.53,229.91,157.14,1
229.66,222.1,202.59,1
218.88,230.78,223.0,0
149.89,225.16,209.51,1
221.31,213.0,248.68,1
219.95,152.84,229.55,1
216.84,9.29,215.14,1
228.97,214.89,219.18,0
211.89,219.85,14.88,1
214.18,228.94,221.4,0
219.41,214.38,220.45,0
215.06,213.13,224.04,0
211.16,254.02,211.62,1
225.54,223.1,56.46,1
214.98,222.08,215.4,0
212.95,227.87,226.75,0
289.59,228.13,227.9,1
209.04,225.08,230.73,0
217.3,243.45,215.35,1
222.27,226.7,264.66,1
227.34,227.76,133.5,1
230.84,145.51,220.73,1
171.93,212.07,217.18,1
209.29,224.98,218.79,0
218.48,216.59,224.53,0
220.62,219.36,238.27,1
226.64,224.57,224.68,0
226.7,220.46,211.96,0
222.27,289.43,211.04,1
228.83,225.73,222.01,0
214.46,217.13,213.32,0
230.3,214.51,211.62,0
212.66,213.09,224.86,0
244.2,209.31,209.89,1
221.07,209.46,225.72,0
219.66,228.2,220.79,0
230.72,215.57,130.16,1
225.18,214.6,278.63,1
230.18,213.52,246.86,1
212.83,226.97,224.78,0
215.65,296.69,215.71,1
16.38,226.42,211.81,1
251.7,216.31,228.52,1
294.39,230.53,223.22,1
221.13,54.48,215.66,1
212.01,184.39,222.02,1
211.45,224.22,28.05,1
25.58,216.44,217.71,1
222.3,218.89,290.92,1
222.35,227.5,226.33,0
225.25,211.32,213.17,0
213.77,224.03,210.55,0
218.91,202.99,213.56,1
260.93,218.47,225.52,1
33.96,220.23,219.82,1
217.62,216.25,225.64,0
212.87,214.73,212.65,0
220.69,194.13,216.69,1
213.49,230.88,223.12,0
214.95,214.63,169.63,1
225.52,177.49,227.33,1
227.59,175.34,219.2,1
228.42,218.89,226.62,0
206.22,219.38,220.34,1
227.19,124.38,223.98,1
211.35,73.82,222.25,1
226.87,210.76,226.53,0
226.28,221.72,210.37,0
210.28,226.74,210.2,0
214.59,222.84,26.29,1
212.25,215.96,217.32,0
222.86,228.47,262.08,1
222.42,216.35,214.59,0
214.88,212.17,223.08,0
223.86,266.49,220.45,1
210.22,230.72,225.77,0
222.63,214.83,227.05,0
229.12,210.06,226.78,0
220.15,221.64,230.4,0
220.57,93.17,210.49,1
252.13,227.44,212.31,1
91.47,216.67,211.86,1
222.98,273.25,229.52,1
219.89,216.7,219.13,0
26.32,217.46,210.06,1
223.94,27.86,227.55,1
209.69,217.76,230.51,0
220.31,223.42,209.46,0
227.67,220.86,215.57,0
227.54,224.96,224.44,0
215.53,213.28,179.63,1
216.76,223.78,228.91,0
214.51,230.14,156.89,1
211.89,230.83,227.05,0
215.12,230.64,244.65,1
217.42,291.16,229.04,1
223.54,229.04,213.43,0
4.54,216.85,219.81,1
218.19,221.81,3.99,1
225.72,219.18,212.18,0
224.25,225.27,227.86,0
223.5,209.99,213.68,0
230.83,215.87,229.56,0
222.51,214.79,229.0,0
211.24,211.28,92.5,1
227.95,47.44,219.12,1
209.71,227.57,224.55,0
225.58,217.72,157.39,1
240.37,224.02,215.22,1
213.01,280.25,220.77,1
216.66,216.02,209.34,0
242.28,224.51,215.37,1
216.99,212.55,287.88,1
221.02,224.48,213.27,0
213.35,221.91,229.81,0
250.96,217.46,209.05,1
215.61,162.43,222.12,1
227.78,229.46,228.89,0
210.13,210.68,51.29,1
212.77,222.69,224.17,0
218.65,215.73,218.04,0
217.33,220.45,279.88,1
261.73,221.87,220.47,1
225.96,226.13,214.67,0
272.62,215.72,209.52,1
220.27,211.63,221.31,0
222.26,211.13,227.38,0
220.8,76.03,223.93,1
218.7,213.03,291.26,1
220.86,218.25,216.27,0
211.54,230.5,220.92,0
211.13,226.33,230.51,0
210.96,212.66,239.36,1
219.66,222.21,230.43,0
225.54,217.71,243.85,1
260.81,219.87,219.21,1
222.47,227.4,222.73,0
209.44,74.57,227.17,1
228.56,216.9,225.97,0
215.62,211.69,215.6,0
215.51,210.76,230.77,0
209.42,273.73,218.08,1
221.72,217.22,241.59,1
211.68,4.17,226.58,1
217.88,209.44,221.9,0
226.96,16.65,226.62,1
225.69,213.33,10.41,1
216.28,74.94,222.75,1
224.99,229.6,230.23,0
209.61,223.76,223.85,0
226.07,225.73,218.51,0
223.78,228.2,246.97,1
214.87,224.53,213.79,0
230.54,191.56,221.73,1
209.4,214.98,284.55,1
209.19,263.65,214.74,1
224.38,224.77,44.22,1
192.94,212.01,225.14,1
211.49,227.47,222.44,0
222.06,159.34,224.65,1
58.22,218.15,215.58,1
209.48,211.16,210.93,0
218.19,226.58,226.11,0
31.39,222.43,223.05,1
262.61,210.38,218.96,1
209.57,213.94,7.73,1
222.7,133.83,213.55,1
220.36,177.09,225.56,1
216.83,234.33,215.97,1
212.87,220.24,217.28,0
226.95,214.14,230.84,0
215.71,219.63,248.34,1
211.67,229.37,217.28,0
261.52,215.26,221.79,1
277.12,216.88,215.07,1
218.37,96.98,218.8,1
221.04,211.37,209.44,0
221.11,225.83,25.86,1
213.72,227.88,233.53,1
228.07,214.37,209.11,0
249.69,226.73,219.94,1
212.92,220.31,210.88,0
214.3,221.54,223.27,0
218.7,190.85,226.67,1
215.66,229.53,215.01,0
218.14,159.76,221.23,1
226.48,226.35,259.39,1
229.33,212.95,214.34,0
170.46,215.85,223.43,1
226.44,220.07,221.78,0
225.81,213.2,229.53,0
225.82,221.54,224.12,0
213.24,267.3,228.69,1
213.81,209.14,218.55,0
271.86,224.47,212.07,1
213.6,230.08,227.83,0
135.28,220.93,225.51,1
224.07,219.69,97.52,1
213.5,227.11,276.13,1
109.19,213.91,217.07,1
220.64,218.72,214.65,0
214.17,41.86,224.61,1
225.81,210.45,221.54,0
226.69,229.24,210.5,0
221.8,221.17,218.09,0
228.46,225.31,226.83,0
211.68,213.41,215.33,0
213.5,222.33,222.56,0
224.57,219.17,216.5,0
210.21,228.38,228.71,0
218.65,209.8,121.32,1
253.22,214.36,221.82,1
200.28,224.21,229.76,1
224.48,212.59,216.8,0
223.32,212.56,288.93,1
229.04,216.19,218.67,0
132.61,222.15,210.37,1
230.97,213.44,229.09,0
214.34,278.76,210.77,1
223.99,229.33,211.82,0
215.1,54.24,210.19,1
217.63,210.03,230.15,0
219.62,220.44,215.79,0
223.48,230.27,118.51,1
59.89,216.72,229.71,1
170.45,219.91,223.33,1
272.63,225.37,229.83,1
220.64,209.34,76.94,1
212.38,211.6,224.97,0
225.05,227.88,225.22,0
275.68,217.21,214.66,1
218.26,286.86,219.04,1
212.76,211.9,213.04,0
230.47,64.76,230.66,1
210.07,209.5,292.77,1
215.55,215.18,210.65,0
218.55,37.75,226.02,1
225.07,272.03,229.39,1
224.56,295.85,210.61,1
223.69,286.15,227.0,1
220.43,282.24,220.45,1
225.54,59.55,225.99,1
227.91,214.22,249.89,1
228.88,226.02,225.22,0
210.47,217.69,102.54,1
60.95,212.9,224.88,1
216.85,215.89,280.38,1
234.99,218.39,211.0,1
215.16,228.03,219.24,0
230.71,225.15,217.81,0
209.69,108.26,224.02,1
223.17,221.19,209.46,0
256.85,224.53,230.3,1
212.37,210.97,212.8,0
227.26,210.17,15.4,1
181.74,216.2,209.55,1
228.47,212.03,214.57,0
227.69,211.77,215.07,0
283.6,225.75,220.86,1
209.99,218.28,209.69,0
209.22,227.01,212.44,0
229.08,211.68,217.24,0
211.46,228.04,212.03,0
217.43,110.56,213.71,1
222.0,230.58,212.29,0
213.46,229.49,215.18,0
225.62,228.23,219.46,0
292.16,217.22,213.94,1
225.71,222.42,219.96,0
219.17,224.34,259.68,1
209.92,219.85,221.18,0
178.58,218.62,226.28,1
259.96,224.88,227.03,1
219.7,228.65,112.11,1
209.13,86.67,215.77,1
221.47,241.68,225.52,1
218.79,223.72,218.15,0
212.74,113.65,230.34,1
225.1,229.03,223.25,0
216.92,215.89,58.01,1
216.76,66.53,224.35,1
234.19,225.05,209.72,1
298.45,213.33,224.63,1
221.61,293.6,215.21,1
210.58,228.22,216.0,0
211.95,44.71,213.07,1
217.82,212.78,209.85,0
211.27,228.74,230.22,0
220.69,236.91,225.42,1
226.74,243.89,218.42,1
226.27,214.9,229.54,0
212.84,259.85,218.83,1
210.18,210.39,227.32,0
228.9,237.55,210.82,1
214.9,215.81,226.65,0
29.58,229.22,229.04,1
219.24,212.7,229.91,0
217.83,225.45,175.62,1
219.02,216.82,203.52,1
217.99,221.9,262.39,1
249.53,229.94,211.63,1
226.11,222.74,212.29,0
